Job Title,Job Link,Prof Area,Company,Location,Work Type,Experience Required,Education Required,Salary Range,Posted On
Слесарь-ремонтник,/ru/vacancy/slesar-remontnik~4761374,Производство,"Товарищество с ограниченной ответственностью ""NORD Production Group""","Карагандинская область, г. Темиртау",полный рабочий день,1 год стажа,техническое и профессиональное,от 200 000 тг.,Опубликовано 21.04.2025
Производитель работ (прораб),/ru/vacancy/proizvoditel-rabot-(prorab)~4761371,Строительство и архитектура,"Товарищество с ограниченной ответственностью ""Sensata Family""",г.Астана,полный рабочий день,3 года стажа,техническое и профессиональное,от 400 000 тг.,Опубликовано 21.04.2025
Швея,/ru/vacancy/shveya-shveya~4761363,Производство,"Товарищество с ограниченной ответственностью ""Clotwell""","Алматинская область, Талгарский район, г.Талгар",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 тг.,Опубликовано 21.04.2025
Начальник участка (в строительстве),/ru/vacancy/nachalnik-uchastka-(v-stroitelstve)~4761358,Строительство и архитектура,"Товарищество с ограниченной ответственностью ""Sensata Family""",г.Астана,полный рабочий день,5 лет стажа,высшее,от 500 000 тг.,Опубликовано 21.04.2025
Уборщик помещений,/ru/vacancy/uborshchik-pomeshchenii-uborshchik-pomeshchenii~4761356,Профессии без квалификации,"Коммунальное государственное казенное предприятие ""Ясли - сад ""Таңшолпан"" отдела образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район",полный рабочий день,Без опыта работы,техническое и профессиональное,от 110 000 до 115 800 тг.,Опубликовано 21.04.2025
Помощник воспитателя,/ru/vacancy/pomoshchnik-vospitatelya-pomoshchnik-vospitatelya~4761355,Образование и воспитание,"Коммунальное государственное казенное предприятие ""Ясли - сад ""Таңшолпан"" отдела образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район",полный рабочий день,Без опыта работы,послесреднее,от 95 000 до 97 000 тг.,Опубликовано 21.04.2025
Инженер по вентиляции,/ru/vacancy/slesar-po-ventilyacionnym-ustanovkam-inzhener-po-ventilyacii~4761350,Строительство и архитектура,"ТОО ""Хлебобараночный комбинат ""Аксай""","г. Алматы, Ауэзовский район",полный рабочий день,1 год стажа,техническое и профессиональное,от 210 000 тг.,Опубликовано 21.04.2025
Руководитель проекта,/ru/vacancy/rukovoditel-stroitelnogo-kompleksa-rukovoditel-proekta~4761347,Строительство и архитектура,"Товарищество с ограниченной ответственностью ""Sensata Family""",г.Астана,полный рабочий день,5 лет стажа,высшее,от 700 000 тг.,Опубликовано 21.04.2025
Кладовщик,/ru/vacancy/pomoshchnik-kladovshchika-kladovshchik~4761344,Торговля и складирование,"ТОО ""Хлебобараночный комбинат ""Аксай""",г. Алматы,посменный,1 год стажа,общее среднее (с 1 по 11/12 классы),от 151 000 тг.,Опубликовано 21.04.2025
Дворник,/ru/vacancy/dvornik-dvornik~4761339,ЖКХ и благоустройство,"ТОО ""Хлебобараночный комбинат ""Аксай""",г. Алматы,полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 104 000 тг.,Опубликовано 21.04.2025
Мойщик посуды,/ru/vacancy/moishchik-posudy~4761338,Проживание и питание,"ТОО ""Хлебобараночный комбинат ""Аксай""","г. Алматы, Ауэзовский район",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 120 000 тг.,Опубликовано 21.04.2025
Счетовод,/ru/vacancy/schetchik-tary-schetovod~4761337,Финансы и бухучет,"ТОО ""Хлебобараночный комбинат ""Аксай""","г. Алматы, Ауэзовский район",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 127 000 тг.,Опубликовано 21.04.2025
Грузчик,/ru/vacancy/gruzchik-gotovoi-produkcii-gruzchik~4761336,Профессии без квалификации,"ТОО ""Хлебобараночный комбинат ""Аксай""","г. Алматы, Ауэзовский район",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 126 000 тг.,Опубликовано 21.04.2025
Уборщик производственных и служебных помещений,/ru/vacancy/uborshchik-proizvodstvennykh-pomeshchenii-uborshchik-proizvodstvennykh-i-sluzhebnykh-pomeshchenii~4761333,Профессии без квалификации,"ТОО ""Хлебобараночный комбинат ""Аксай""","г. Алматы, Ауэзовский район",полный рабочий день,Без опыта работы,послесреднее,от 105 000 тг.,Опубликовано 21.04.2025
Программист приложений,/ru/vacancy/vedushchii-specialist-upravleniya-razrabotki-po-esbd-programmist-prilozhenii~4761331,IT и телекоммуникации,"Акционерное общество ""Государственное кредитное бюро""","г. Алматы, Алмалинский район",полный рабочий день,1 год стажа,высшее,от 300 000 тг.,Опубликовано 21.04.2025
