Job Title,Job Link,Prof Area,Company,Location,Work Type,Experience Required,Education Required,Salary Range,Posted On
Логопед,/ru/vacancy/logoped~4746780,Образование и воспитание,"Коммунальное государственное учреждение ""Куландинская общеобразовательная школа"" Отдела образования по Каракиянскому району Управления образования Мангистауской области","Мангистауская область, Каракиянский район, Куландинский с.о.",полный рабочий день,Без опыта работы,высшее,от 120 000 до 130 000 тг.,Опубликовано 15.04.2025
Логопед-дефектолог,/ru/vacancy/defektolog-logoped-defektolog~4746777,Образование и воспитание,"Коммунальное государственное учреждение ""Куландинская общеобразовательная школа"" Отдела образования по Каракиянскому району Управления образования Мангистауской области","Мангистауская область, Каракиянский район, с.Куланды",полный рабочий день,Без опыта работы,высшее,от 120 000 до 180 000 тг.,Опубликовано 15.04.2025
Секретарь,/ru/vacancy/sekretar~4746774,HR и секретариат,"Коммунальное государственное учреждение ""Куландинская общеобразовательная школа"" Отдела образования по Каракиянскому району Управления образования Мангистауской области","Мангистауская область, Каракиянский район, с.Куланды",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 тг.,Опубликовано 15.04.2025
Учитель информатики,/ru/vacancy/pedagog-uchitel-informatiki~4746773,Образование и воспитание,"Коммунальное государственное учреждение ""Куландинская общеобразовательная школа"" Отдела образования по Каракиянскому району Управления образования Мангистауской области","Мангистауская область, Каракиянский район, с.Куланды",неполная рабочая неделя,Без опыта работы,высшее,от 100 000 до 150 000 тг.,Опубликовано 15.04.2025
Электромонтер (общий профиль),/ru/vacancy/elektrik-elektromonter-(obshchii-profil)~4746772,Энергетика,"Коммунальное государственное учреждение ""Куландинская общеобразовательная школа"" Отдела образования по Каракиянскому району Управления образования Мангистауской области","Мангистауская область, Каракиянский район, с.Куланды",полный рабочий день,Без опыта работы,послесреднее,от 95 000 до 100 000 тг.,Опубликовано 15.04.2025
Врач акушер-гинеколог,/ru/vacancy/vrach-akusher-ginekolog-vrach-akusher-ginekolog~4746770,Медицина и фармацевтика,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ «АЛТЫНСАРИНСКАЯ РАЙОННАЯ БОЛЬНИЦА» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ,"Костанайская область, Алтынсаринский район, с.Малая Чураковка",полный рабочий день,Без опыта работы,высшее,от 350 000 тг.,Опубликовано 15.04.2025
Бухгалтер-кассир,/ru/vacancy/bukhgalter-materialnogo-stola--kassir-bukhgalter-kassir~4746767,Финансы и бухучет,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ «АЛТЫНСАРИНСКАЯ РАЙОННАЯ БОЛЬНИЦА» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ,"Костанайская область, Алтынсаринский район, с.Малая Чураковка",полный рабочий день,Без опыта работы,высшее,от 136 000 тг.,Опубликовано 15.04.2025
Юрист,/ru/vacancy/yurist-yurist~4746766,Юриспруденция,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ «АЛТЫНСАРИНСКАЯ РАЙОННАЯ БОЛЬНИЦА» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ,"Костанайская область, Алтынсаринский район, с.Малая Чураковка",полный рабочий день,Без опыта работы,высшее,от 160 000 тг.,Опубликовано 15.04.2025
Преподаватель ритмики и хореографии,/ru/vacancy/pedagog-dopolnitelnogo-obrazovaniya-prepodavatel-ritmiki-i-khoreografii~4746761,Образование и воспитание,"Коммунальное государственное казенное предприятие ""Хореографическая школа ""Карнавал"" отдела образования города Костаная"" Управления образования акимата Костанайской области","Костанайская область, г. Костанай",полный рабочий день,Без опыта работы,высшее,от 120 000 до 150 000 тг.,Опубликовано 15.04.2025
Секретарь,/ru/vacancy/sekretar-sekretar~4746758,HR и секретариат,"Коммунальное государственное казенное предприятие ""Хореографическая школа ""Карнавал"" отдела образования города Костаная"" Управления образования акимата Костанайской области","Костанайская область, г. Костанай",полный рабочий день,3 года стажа,высшее,от 133 000 тг.,Опубликовано 15.04.2025
Швея,/ru/vacancy/shveya-shveya~4746756,Производство,"Коммунальное государственное казенное предприятие ""Хореографическая школа ""Карнавал"" отдела образования города Костаная"" Управления образования акимата Костанайской области","Костанайская область, г. Костанай",полный рабочий день,Без опыта работы,техническое и профессиональное,от 97 000 тг.,Опубликовано 15.04.2025
Врач-офтальмолог,/ru/vacancy/vrach---oftalmolog-detskii-vrach-oftalmolog~4746754,Медицина и фармацевтика,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Городская поликлиника №6"" управления здравоохранения акимата Западно-Казахстанской области""","Западно-Казахстанская область, г. Уральск, п.Зачаганск",полный рабочий день,Без опыта работы,послевузовское,от 280 000 до 300 000 тг.,Опубликовано 15.04.2025
Инженер по компьютерам,/ru/vacancy/inzhener-po-oborudovaniyu-inzhener-po-kompyuteram~4746753,IT и телекоммуникации,"Коммунальное государственное казенное предприятие ""Хореографическая школа ""Карнавал"" отдела образования города Костаная"" Управления образования акимата Костанайской области","Костанайская область, г. Костанай",полный рабочий день,Без опыта работы,высшее,от 85 000 до 100 000 тг.,Опубликовано 15.04.2025
Оператор звукозаписи,/ru/vacancy/zvukooperator-operator-zvukozapisi~4746752,IT и телекоммуникации,"Коммунальное государственное казенное предприятие ""Хореографическая школа ""Карнавал"" отдела образования города Костаная"" Управления образования акимата Костанайской области","Костанайская область, г. Костанай",полный рабочий день,Без опыта работы,техническое и профессиональное,от 127 000 тг.,Опубликовано 15.04.2025
Уборщик в школах,/ru/vacancy/uborshchik-pomeshchenii-uborshchik-v-shkolakh~4746750,Профессии без квалификации,"Коммунальное государственное казенное предприятие ""Хореографическая школа ""Карнавал"" отдела образования города Костаная"" Управления образования акимата Костанайской области","Костанайская область, г. Костанай",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 135 000 тг.,Опубликовано 15.04.2025
Медицинская(ий) сестра/брат,/ru/vacancy/medicinskaya-sestra-otdeleniya-gospitalnoi-farmacii-medicinskaya(ii)-sestra-brat~4746749,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская многопрофильная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 до 200 000 тг.,Опубликовано 15.04.2025
Врач медицинский реабилитолог,/ru/vacancy/vrach-medicinskii-reabilitolog~4746748,Медицина и фармацевтика,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Городская поликлиника №6"" управления здравоохранения акимата Западно-Казахстанской области""","Западно-Казахстанская область, г. Уральск, п.Зачаганск",полный рабочий день,Без опыта работы,послевузовское,от 250 000 до 300 000 тг.,Опубликовано 15.04.2025
Преподаватель музыкальной школы,/ru/vacancy/prepodavatel-muzyki-prepodavatel-muzykalnoi-shkoly~4746744,Образование и воспитание,"Государственное коммунальное казенное предприятие на праве оперативного управления ""Ясли-сад № 5 ""Сауле"" Отдел образования по городу Жанаозен Управления образования Мангистауской области","Мангистауская область, г. Жанаозен",полный рабочий день,3 года стажа,высшее,от 85 000 тг.,Опубликовано 15.04.2025
Домработница,/ru/vacancy/domrabotnica~4746740,Индивидуальные услуги и сервис,"Товарищество с ограниченной ответственностью ""Individ 2015""",г.Астана,полный рабочий день,1 год стажа,техническое и профессиональное,от 350 000 тг.,Опубликовано 15.04.2025
Тракторист,/ru/vacancy/traktor-zhyrgizushisi-traktorist~4746738,Сельское хозяйство,"Республиканское государственное учреждение ""Государственный природный резерват ""Иле-Балхаш"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","Алматинская область, Балхашский район Алмат. обл., с.Караой",полный рабочий день,3 года стажа,послесреднее,от 110 571 тг.,Опубликовано 15.04.2025
Секретарь,/ru/vacancy/sekretar~4746730,HR и секретариат,"Республиканское государственное учреждение ""Территориальный департамент Комитета атомного и энергетического надзора и контроля Министерства энергетики Республики Казахстан по области Ұлытау""","Область Ұлытау, г.Жезказган",полный рабочий день,1 год стажа,послесреднее,от 100 000 тг.,Опубликовано 15.04.2025
Научный сотрудник (в области биологии),/ru/vacancy/starshii-nauchnyi-sotrudnik-ornitolog-nauchnyi-sotrudnik-(v-oblasti-biologii)~4746722,Наука и консалтинг,"Республиканское государственное учреждение ""Государственный природный резерват ""Иле-Балхаш"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","Алматинская область, Балхашский район Алмат. обл., с.Караой",неполный рабочий день,1 год стажа,высшее,от 169 056 до 202 836 тг.,Опубликовано 15.04.2025
Рабочий по уходу за животными,/ru/vacancy/zhanuarlardy-kytu-boiynsha-zhumysshy-rabochii-po-ukhodu-za-zhivotnymi~4746719,Сельское хозяйство,"Республиканское государственное учреждение ""Государственный природный резерват ""Иле-Балхаш"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","Алматинская область, Балхашский район Алмат. обл., с.Караой",полный рабочий день,Без опыта работы,послесреднее,от 110 570 тг.,Опубликовано 15.04.2025
Прачка (вручную),/ru/vacancy/prachka-prachka-(vruchnuyu)~4746717,Профессии без квалификации,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Многопрофильная областная больница"" управления здравоохранения Кызылординской области""","Кызылординская область, г. Кызылорда",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 100 518 тг.,Опубликовано 15.04.2025
Бетонщик,/ru/vacancy/betonshchik-betonshchik~4746706,Строительство и архитектура,"Товарищество с ограниченной ответственностью ""Агропромремстрой""","Карагандинская область, Актогайский район, с.Актогай",полный рабочий день,4 года стажа,высшее,от 300 000 до 400 000 тг.,Опубликовано 15.04.2025
Напайщик,/ru/vacancy/danekerleushi-napaishchik~4746700,Производство,"Республиканское государственное учреждение ""Государственный природный резерват ""Иле-Балхаш"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","Алматинская область, Балхашский район Алмат. обл., с.Караой",полный рабочий день,1 год стажа,техническое и профессиональное,от 118 216 тг.,Опубликовано 15.04.2025
Машинист крана (крановщик),/ru/vacancy/mashinist-krana-proizvodstvennyi-personal-filial-ao-«kedentransservis»-po-pavlodarskoi-oblasti-ao-«kedentransservis»-mashinist-krana-(kranovshchik)~4746697,N/A,"Филиал Акционерного общества ""Кедентранссервис"" по Павлодарской области""",Павлодарская область,полный рабочий день,3 года стажа,техническое и профессиональное,от 85 000 тг.,Опубликовано 15.04.2025
IT-дизайнер,/ru/vacancy/yurist-it-dizainer~4746690,IT и телекоммуникации,"Государственное учреждение ""Аппарат акима сельского округа Шаян"" акимата района Байдибек","Туркестанская область, Байдибекский район, с.Чаян",N/A,Без опыта работы,техническое и профессиональное,N/A,Опубликовано 15.04.2025
Инженер по техническому обслуживанию,/ru/vacancy/inzhener-ii-kategorii-kompleksa-radiotekhnicheskogo-obespecheniya-poletov-sluzhby-ekspluatacii-radiotekhnicheskogo-oborudovaniya-i-svyazi-inzhener-po-tekhnicheskomu-obsluzhivaniyu~4746687,Транспорт и логистика,Уральский филиал республиканского государственного предприятия на праве хозяйственного ведения «Казаэронавигация» Комитета гражданской авиации Министерства транспорта Республики Казахстан,"Западно-Казахстанская область, Теректинский район, с.Hовая Жизнь",полный рабочий день,3 года стажа,высшее,от 200 100 тг.,Опубликовано 15.04.2025
Делопроизводитель,/ru/vacancy/deloproizvoditel~4746686,HR и секретариат,"Республиканское государственное учреждение ""Территориальный департамент Комитета атомного и энергетического надзора и контроля Министерства энергетики Республики Казахстан по области Ұлытау""","Область Ұлытау, г.Жезказган",полный рабочий день,1 год стажа,высшее,от 100 000 тг.,Опубликовано 15.04.2025
IT-дизайнер,/ru/vacancy/programist-it-dizainer~4746683,IT и телекоммуникации,"Государственное учреждение ""Аппарат акима сельского округа Шаян"" акимата района Байдибек","Туркестанская область, Байдибекский район, с.Чаян",N/A,Без опыта работы,техническое и профессиональное,N/A,Опубликовано 15.04.2025
Врач-терапевт,/ru/vacancy/vrach-terapevt-terapevticheskogo-otdeleniya-vrach-terapevt~4746681,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская многопрофильная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,3 года стажа,послевузовское,от 268 277 до 286 277 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/okhrannik-sutochnogo-posta-okhrannik~4746678,Безопасность и ЧС,"Филиал Товарищества с ограниченной ответственностью ""ТАРЛАН САРБАЗ"" в городе Кокшетау","Акмолинская область, Сандыктауский район, с.Балкашино",полный рабочий день,Без опыта работы,техническое и профессиональное,от 90 000 до 100 000 тг.,Опубликовано 15.04.2025
Подсобный рабочий,/ru/vacancy/podsobnyi-rabochii-na-kukhne-podsobnyi-rabochii~4746677,Профессии без квалификации,"Государственное коммунальное казенное предприятие ""Ясли-сад № 8 ""Арай"" отдела образования города Уральск управления образования акимата Западно-Казахстанской области""","Западно-Казахстанская область, г. Уральск",полный рабочий день,Без опыта работы,послесреднее,от 85 000 тг.,Опубликовано 15.04.2025
Инженер ПТО,/ru/vacancy/inzhener-promyshlennoi-bezopasnosti-inzhener-pto~4746676,"Нефть, газ, добыча ресурсов","Товарищество с ограниченной ответственностью ""Горгаз-сервис""","Северо-Казахстанская область, г. Петропавловск",полный рабочий день,1 год стажа,высшее,от 254 000 тг.,Опубликовано 15.04.2025
Специалист по обслуживанию населения,/ru/vacancy/specialist-po-rabote-s-abonentami-specialist-po-obsluzhivaniyu-naseleniya~4746675,Социальное обслуживание,"Товарищество с ограниченной ответственностью ""Горгаз-сервис""","Северо-Казахстанская область, г. Петропавловск",полный рабочий день,3 года стажа,техническое и профессиональное,от 211 000 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/okhrannik-sutochnogo-posta-okhrannik~4746670,Безопасность и ЧС,"Филиал Товарищества с ограниченной ответственностью ""ТАРЛАН САРБАЗ"" в городе Кокшетау","Акмолинская область, Буландынский район, г.Макинск",посменный,Без опыта работы,послесреднее,от 90 000 до 100 000 тг.,Опубликовано 15.04.2025
Акушер(ка),/ru/vacancy/akusherka-akusher(ka)~4746668,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская поликлиника"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,Без опыта работы,техническое и профессиональное,от 200 000 до 300 000 тг.,Опубликовано 15.04.2025
Врач-невролог,/ru/vacancy/vrach-nevrolog-vzroslyi-vrach-nevrolog~4746666,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская поликлиника"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,Без опыта работы,высшее,от 300 000 до 400 000 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/okhrannik-sutochnogo-posta-okhrannik~4746664,Безопасность и ЧС,"Филиал Товарищества с ограниченной ответственностью ""ТАРЛАН САРБАЗ"" в городе Кокшетау","Акмолинская область, г. Степногорск",посменный,Без опыта работы,послесреднее,от 85 000 тг.,Опубликовано 15.04.2025
Врач-неонатолог,"/ru/vacancy/vrach-neonatolog-otdeleniya-novorozhdennykh,-reanimacii-i-intensivnoi-terapii-vrach-neonatolog~4746663",Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская многопрофильная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,2 года стажа,послевузовское,от 400 000 до 500 000 тг.,Опубликовано 15.04.2025
Врач-пульмонолог,"/ru/vacancy/vrach-pulmonolog-vzroslyi,-detskii-vrach-pulmonolog~4746662",Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская поликлиника"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,Без опыта работы,техническое и профессиональное,от 300 000 до 400 000 тг.,Опубликовано 15.04.2025
Врач-педиатр,/ru/vacancy/uchastkovyi-vrach-pediatr-vrach-pediatr~4746658,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская поликлиника"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,Без опыта работы,высшее,от 300 000 до 400 000 тг.,Опубликовано 15.04.2025
Врач анестезиолог и реаниматолог,/ru/vacancy/vrach-anesteziolog-reanimatolog-reanimacionno-anesteziologicheskogo-otdeleniya-vrach-anesteziolog-i-reanimatolog~4746656,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская многопрофильная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,3 года стажа,послевузовское,от 400 000 до 500 000 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/okhrannik-sutochnogo-posta-okhrannik~4746657,Безопасность и ЧС,"Филиал Товарищества с ограниченной ответственностью ""ТАРЛАН САРБАЗ"" в городе Кокшетау","Акмолинская область, г. Кокшетау",полный рабочий день,Без опыта работы,послесреднее,от 90 000 до 100 000 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/okhrannik-sutochnogo-posta-okhrannik~4746654,Безопасность и ЧС,"Филиал Товарищества с ограниченной ответственностью ""ТАРЛАН САРБАЗ"" в городе Кокшетау","Акмолинская область, Бурабайский район, г.Щучинск",посменный,Без опыта работы,послесреднее,от 90 000 до 110 000 тг.,Опубликовано 15.04.2025
Врач анестезиолог и реаниматолог,/ru/vacancy/vrach-anesteziolog-reanimatolog-reanimacionno-anesteziologicheskogo-otdeleniya-vrach-anesteziolog-i-reanimatolog~4746653,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская многопрофильная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,3 года стажа,послевузовское,от 400 000 до 500 000 тг.,Опубликовано 15.04.2025
Врач-эндокринолог,"/ru/vacancy/vrach-endokrinolog-vzroslyi,-detskii-vrach-endokrinolog~4746651",Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская поликлиника"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,Без опыта работы,высшее,от 300 000 до 400 000 тг.,Опубликовано 15.04.2025
Врач-невролог,/ru/vacancy/vrach-nevropatolog-neirokhirurgicheskogo-otdeleniya-vrach-nevrolog~4746648,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская многопрофильная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,3 года стажа,послевузовское,от 287 154 до 300 000 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/okhrannik-sutochnogo-posta-okhrannik~4746646,Безопасность и ЧС,"Филиал Товарищества с ограниченной ответственностью ""ТАРЛАН САРБАЗ"" в городе Кокшетау","Акмолинская область, г. Степногорск",полный рабочий день,Без опыта работы,послесреднее,от 150 000 тг.,Опубликовано 15.04.2025
Врач-оториноларинголог,/ru/vacancy/otorinolaringolog-detskii-vrach-otorinolaringolog~4746644,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская поликлиника"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,Без опыта работы,высшее,от 300 000 до 400 000 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/okhrannik-dnevnogo-posta-okhrannik~4746640,Безопасность и ЧС,"Филиал Товарищества с ограниченной ответственностью ""ТАРЛАН САРБАЗ"" в городе Кокшетау","Акмолинская область, г. Кокшетау",неполный рабочий день,Без опыта работы,послесреднее,от 90 000 до 100 000 тг.,Опубликовано 15.04.2025
Врач акушер-гинеколог,/ru/vacancy/vrach-akusher-ginekolog-rodilnogo-otdeleniya-vrach-akusher-ginekolog~4746641,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская многопрофильная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,3 года стажа,послевузовское,от 200 000 до 500 000 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/okhrannik-sutochnogo-posta-okhrannik~4746637,Безопасность и ЧС,"Филиал Товарищества с ограниченной ответственностью ""ТАРЛАН САРБАЗ"" в городе Кокшетау","Акмолинская область, Атбасарский район, г.Атбасар",неполный рабочий день,Без опыта работы,послесреднее,от 90 000 до 100 000 тг.,Опубликовано 15.04.2025
Врач-гематолог,/ru/vacancy/vrach-gematolog-vrach-gematolog~4746636,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская поликлиника"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,Без опыта работы,высшее,от 300 000 до 400 000 тг.,Опубликовано 15.04.2025
Врач акушер-гинеколог,/ru/vacancy/vrach-akusher-ginekolog-rodilnogo-otdeleniya-vrach-akusher-ginekolog~4746635,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская многопрофильная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,3 года стажа,послевузовское,от 200 000 до 500 000 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/okhrannik-sutochnogo-posta-okhrannik~4746634,Безопасность и ЧС,"Филиал Товарищества с ограниченной ответственностью ""ТАРЛАН САРБАЗ"" в городе Кокшетау","Акмолинская область, район Биржан сал, г.Степняк",посменный,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 90 000 до 100 000 тг.,Опубликовано 15.04.2025
Врач-кардиолог,/ru/vacancy/vrach-kardiolog-kardiologicheskogo-otdeleniya-vrach-kardiolog~4746633,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская многопрофильная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,3 года стажа,послевузовское,от 200 000 до 500 000 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/okhrannik-sutochnogo-posta-okhrannik~4746632,Безопасность и ЧС,"Филиал Товарищества с ограниченной ответственностью ""ТАРЛАН САРБАЗ"" в городе Кокшетау","Акмолинская область, Есильский район, г.Есиль",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 90 000 до 100 000 тг.,Опубликовано 15.04.2025
Инструктор по физической культуре,/ru/vacancy/lechebnaya-fizicheskaya-kultura-instruktor-po-fizicheskoi-kulture~4746631,Образование и воспитание,"Коммунальное государственное учреждение ""Кабинет психолого-педагогической коррекции № 18, село Коргалжын, Коргалжынский район"" управления образования Акмолинской области","Акмолинская область, Коргалжынский район, с.Коргалжын",полный рабочий день,1 год стажа,высшее,от 85 000 до 140 000 тг.,Опубликовано 15.04.2025
Инструктор по физической культуре,/ru/vacancy/lechebnaya-fizicheskaya-kultura-instruktor-po-fizicheskoi-kulture~4746631,Образование и воспитание,"Коммунальное государственное учреждение ""Кабинет психолого-педагогической коррекции № 18, село Коргалжын, Коргалжынский район"" управления образования Акмолинской области","Акмолинская область, Коргалжынский район, с.Коргалжын",полный рабочий день,1 год стажа,высшее,от 85 000 до 140 000 тг.,Опубликовано 15.04.2025
Медицинская(ий) сестра/брат,/ru/vacancy/palatnaya-medicinskaya-sestra-pediatricheskogo-otdeleniya-medicinskaya(ii)-sestra-brat~4746628,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская многопрофильная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,1 год стажа,техническое и профессиональное,от 150 000 до 206 350 тг.,Опубликовано 15.04.2025
Бухгалтер,/ru/vacancy/bukhgalter-0.25-stavki-bukhgalter~4746626,Финансы и бухучет,"Коммунальное государственное учреждение ""Средняя школа имени М. Ломоносова"" отдела образования по Уланскому району управления образования Восточно-Казахстанской области","Восточно-Казахстанская область, Уланский район, с.Мамай батыра",неполный рабочий день,1 год стажа,техническое и профессиональное,от 90 000 до 100 000 тг.,Опубликовано 15.04.2025
Рабочий по благоустройству территории,/ru/vacancy/rabochii-rabochii-po-blagoustroistvu-territorii~4746622,ЖКХ и благоустройство,"Коммунальное государственное учреждение ""Средняя школа имени М. Ломоносова"" отдела образования по Уланскому району управления образования Восточно-Казахстанской области","Восточно-Казахстанская область, Уланский район, с.Мамай батыра",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 до 86 000 тг.,Опубликовано 15.04.2025
Оператор котельной,/ru/vacancy/master-po-kotelnomu-oborudovaniyu-operator-kotelnoi~4746623,Производство,"Государственное коммунальное предприятие ""Кызылордатеплоэлектроцентр"" на праве хозяйственного ведения управления энергетики и жилищно-коммунального хозяйства Кызылординской области","Кызылординская область, г. Кызылорда",N/A,Без опыта работы,техническое и профессиональное,N/A,Опубликовано 15.04.2025
Врач общей практики,/ru/vacancy/vrach-obshchei-praktiki-vrach-obshchei-praktiki~4746618,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Рудненская городская поликлиника"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Рудный",полный рабочий день,Без опыта работы,высшее,от 500 000 тг.,Опубликовано 15.04.2025
Водитель автобуса,/ru/vacancy/voditel-shkolnogo-avtobusa-voditel-avtobusa~4746616,Транспорт и логистика,"Коммунальное государственное учреждение ""Средняя школа имени М. Ломоносова"" отдела образования по Уланскому району управления образования Восточно-Казахстанской области","Восточно-Казахстанская область, Уланский район, с.Мамай батыра",полный рабочий день,1 год стажа,общее среднее (с 1 по 11/12 классы),от 120 000 до 150 000 тг.,Опубликовано 15.04.2025
Слесарь по контрольно-измерительным приборам и автоматике,/ru/vacancy/slesar-kipia-slesar-po-kontrolno-izmeritelnym-priboram-i-avtomatike~4746611,Производство,"Товарищество с ограниченной ответственностью ""RAMCO Refinery""","Актюбинская область, Мугалжарский район, ст.Темир-мост",N/A,Без опыта работы,техническое и профессиональное,N/A,Опубликовано 15.04.2025
Плотник,/ru/vacancy/plotnik-plotnik~4746610,Строительство и архитектура,"Коммунальное государственное учреждение ""Первый городской общеобразовательный IT-лицей"" коммунального государственного учреждения ""Отдел образования города Петропавловска"" коммунального государственного учреждения ""Управление образования акимата Северо-Казахстанской области""","Северо-Казахстанская область, г. Петропавловск",неполный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 тг.,Опубликовано 15.04.2025
Лаборант (средней квалификации),/ru/vacancy/laborant-biologii-laborant-(srednei-kvalifikacii)~4746605,Производство,"Коммунальное государственное учреждение ""Первый городской общеобразовательный IT-лицей"" коммунального государственного учреждения ""Отдел образования города Петропавловска"" коммунального государственного учреждения ""Управление образования акимата Северо-Казахстанской области""","Северо-Казахстанская область, г. Петропавловск",полный рабочий день,Без опыта работы,техническое и профессиональное,от 129 258 до 163 130 тг.,Опубликовано 15.04.2025
